Id_vente,Id_bien,Date_mutation,Valeur_fonciere
00880,17417,2020-01,314600
00881,25859,2020-01,179000
00882,12916,2020-01,97800
00883,21045,2020-01,54500
00884,34136,2020-01,128850
00885,27754,2020-01,106000
00886,03463,2020-01,157500
00887,00582,2020-01,77020
00888,31849,2020-01,180000
00889,00676,2020-01,1e+05
00890,11333,2020-01,125000
00891,29183,2020-01,175000
00892,16748,2020-01,146400
00893,24393,2020-01,118000
00894,07744,2020-01,143000
00895,20065,2020-01,67000
00896,29667,2020-01,90500
00897,19233,2020-01,101250
00898,09905,2020-01,252750
00899,28447,2020-01,127000
00900,09917,2020-01,178000
00901,29495,2020-01,388000
00902,10740,2020-01,120000
00903,28132,2020-01,103000
00904,04710,2020-01,91000
00905,02307,2020-01,138370
00906,34149,2020-01,881000
00907,19883,2020-01,51500
00908,09240,2020-01,175400
00909,11530,2020-01,213390
00910,07146,2020-01,118000
00911,02179,2020-01,222490
00912,28765,2020-01,188000
00913,04776,2020-01,96300
00914,19585,2020-01,142950
00915,03411,2020-01,272825
00916,19426,2020-01,138100
00917,15780,2020-01,102500
00918,06563,2020-01,158500
00919,05320,2020-01,83980
00920,22917,2020-01,348000
00921,13976,2020-01,351000
00922,04040,2020-01,207600
00923,22203,2020-01,196000
00924,25997,2020-01,259600
00925,14085,2020-01,206400
00926,14106,2020-01,306200
00927,25090,2020-01,755000
00928,31022,2020-01,328000
00929,28916,2020-01,70500
00930,06404,2020-01,75000
00931,26738,2020-01,87450
00932,02244,2020-01,175200
00933,00480,2020-01,97500
00934,09902,2020-01,166900
00935,22800,2020-01,188035
00936,08975,2020-01,121000
00937,04275,2020-01,156500
00938,30569,2020-01,362000
00939,33702,2020-01,149150
00940,06601,2020-01,212700
00941,02585,2020-01,330500
00942,13240,2020-01,167000
00943,29891,2020-01,41000
00944,32225,2020-01,115125
00945,15678,2020-01,95760
00946,14823,2020-01,83640
00947,09382,2020-01,60000
00948,26621,2020-01,144300
00949,11467,2020-01,80200
00950,27272,2020-01,106000
00951,20439,2020-01,135000
00952,32949,2020-01,199688
00953,26230,2020-01,696290
00954,08515,2020-01,151597.5
00955,00084,2020-01,86511
00956,03939,2020-01,279050
00957,16176,2020-01,232300
00958,29529,2020-01,125120
00959,10300,2020-01,191115
00960,32676,2020-01,26000
00961,13969,2020-01,59000
00962,27158,2020-01,107000
00963,20870,2020-01,370000
00964,14751,2020-01,65500
00965,18288,2020-01,46000
00966,26817,2020-01,306500
00967,12321,2020-01,749760
00968,09386,2020-01,175000
00969,25894,2020-01,250000
00970,24781,2020-01,72000
00971,02706,2020-01,127000
00972,33669,2020-01,95000
00973,32187,2020-01,132000
00974,30601,2020-01,30500
00975,18264,2020-01,340055
00976,02211,2020-01,453250
00977,18273,2020-01,257800
00978,01410,2020-01,227600
00979,20502,2020-01,257200
00980,06432,2020-01,163000
00981,19063,2020-01,121850
00982,06610,2020-01,124650
00983,13198,2020-01,115000
00984,20584,2020-01,132400
00985,09139,2020-01,78000
00986,07458,2020-01,49000
00987,16746,2020-01,741500
