Id_bien,Id_codedep_codecommune,No_voie,B_T_Q,Type_de_voie,Voie,Code_postal,Code_type_local,Type_local,Nombre_pieces_principales,Surface_Carrez_du_1er_lot
14074,44010,5,,RUE,JEAN DE LAISNE,44740,2,Appartement,3,57.04
33738,44055,64,,AV,DE CUY,44500,2,Appartement,3,48.47
03997,44055,14,,AV,JOSSELIN,44500,2,Appartement,1,26.03
30559,44109,5,,ALL,DE LA CITE,44200,2,Appartement,2,48.61
09795,44109,9,,RUE,DE LA PAIX,44000,2,Appartement,4,103.3
06185,44109,5,,RUE,SULLY,44000,1,Maison,5,138.82
07944,44109,55,,RUE,GEORGES LAFONT,44300,2,Appartement,4,67.78
16942,44109,45,,AV,JOSE MARIA DE HEREDIA,44300,2,Appartement,5,93.34
26527,44116,27,,RUE,PIERRE JUBAU,44560,2,Appartement,2,51.99
07993,44143,8,,PL,DES MARTYRS,44400,2,Appartement,3,64.32
19056,44143,3,,ALL,FRANCIS CARCO,44400,2,Appartement,5,87.33
20685,45284,60,,RUE,DE LA MAIRIE,45800,2,Appartement,2,50.2
08777,47001,9001,,IMP,DE ST ARNAUD,47000,2,Appartement,2,46.96
18953,49007,10,,RUE,HANNELOUP,49100,2,Appartement,3,47.01
25162,49099,2,,ALL,RUBENS,49300,2,Appartement,4,73.58
16985,49099,7,,AV,DE LA RICHARDIERE,49300,2,Appartement,3,65
00636,49140,24,,RUE,ROBERT D ARBRISSEL,49590,2,Appartement,2,46.78
30720,49343,1,,RUE,DE L INDUSTRIE,49280,2,Appartement,2,58.18
22545,50129,43,,RUE,DE BEAUCHAMP,50130,1,Maison,4,136.81
13934,51454,40,,RUE,ALEXANDRE HENROT,51100,2,Appartement,1,33.13
05612,51454,87,,RUE,DU MONT D ARENE,51100,2,Appartement,3,67.46
14555,51454,1,,RUE,DES TUILERIES,51100,2,Appartement,1,38.32
30956,51454,21,,RUE,DE THILLOIS,51100,1,Maison,3,154.35
09527,51649,3,,RUE,D ENFER,51300,2,Appartement,4,103.65
07120,54184,12,,RUE,ARISTIDE BRIAND,54270,2,Appartement,3,40.08
09198,54395,21,,RUE,CHRISTIAN MOENCH,54000,2,Appartement,1,29.99
